idade,genero,raca_cor,regiao,escolaridade,situacao_trabalho,cargo_original,cargo_padronizado,senioridade,faixa_salarial,salario_estimado,experiencia_dados,experiencia_dados_anos,experiencia_ti,modelo_trabalho,usa_sql,usa_python,usa_r
19,Masculino,Branca,Sudeste,Estudante de Graduação,Empregado (CLT),Outra Opção,Outros cargos,Júnior,de R$ 1.001/mês a R$ 2.000/mês,1500.5,Não tenho experiência na área de dados,0.0,de 1 a 2 anos,Modelo 100% presencial,,,
19,Masculino,Branca,Centro-oeste,Estudante de Graduação,Estagiário,Analista de Dados/Data Analyst,Análise de Dados e BI,Júnior,de R$ 3.001/mês a R$ 4.000/mês,3500.5,de 1 a 2 anos,1.5,de 3 a 4 anos,Modelo 100% remoto,1.0,1.0,0.0
19,Masculino,Branca,Centro-oeste,Estudante de Graduação,Estagiário,Analista de BI/BI Analyst,Análise de Dados e BI,Júnior,de R$ 1.001/mês a R$ 2.000/mês,1500.5,de 1 a 2 anos,1.5,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% presencial,1.0,1.0,0.0
19,Feminino,Parda,Sudeste,Estudante de Graduação,Estagiário,Engenheiro de Dados/Data Engineer/Data Architect,Engenharia de Dados,Júnior,de R$ 2.001/mês a R$ 3.000/mês,2500.5,Menos de 1 ano,0.5,Menos de 1 ano,Modelo híbrido com dias fixos de trabalho presencial,1.0,1.0,0.0
19,Masculino,Branca,Centro-oeste,Estudante de Graduação,Empregado (CLT),,Não informado,,de R$ 4.001/mês a R$ 6.000/mês,5000.5,Não tenho experiência na área de dados,0.0,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% presencial,,,
19,Masculino,Outra,Centro-oeste,Graduação/Bacharelado,Estagiário,Outra Opção,Outros cargos,Júnior,Menos de R$ 1.000/mês,500.0,de 1 a 2 anos,1.5,de 1 a 2 anos,Modelo 100% presencial,1.0,1.0,1.0
19,Masculino,Branca,Centro-oeste,Estudante de Graduação,Empregado (CLT),Outra Opção,Outros cargos,Júnior,de R$ 1.001/mês a R$ 2.000/mês,1500.5,de 5 a 6 anos,5.5,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% presencial,,,
19,Feminino,Parda,Sudeste,Estudante de Graduação,Empregado (CLT),Analista de Dados/Data Analyst,Análise de Dados e BI,Júnior,de R$ 3.001/mês a R$ 4.000/mês,3500.5,de 3 a 4 anos,3.5,de 1 a 2 anos,Modelo 100% remoto,1.0,1.0,0.0
19,Masculino,Parda,Nordeste,Estudante de Graduação,Estagiário,Outra Opção,Outros cargos,Júnior,de R$ 1.001/mês a R$ 2.000/mês,1500.5,Menos de 1 ano,0.5,de 1 a 2 anos,Modelo 100% presencial,1.0,1.0,0.0
19,Masculino,Branca,Nordeste,Estudante de Graduação,Freelancer,Outra Opção,Outros cargos,Júnior,de R$ 1.001/mês a R$ 2.000/mês,1500.5,Não tenho experiência na área de dados,0.0,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% presencial,,,
19,Masculino,Branca,Centro-oeste,Estudante de Graduação,Empregado (CLT),Analista de BI/BI Analyst,Análise de Dados e BI,Júnior,de R$ 1.001/mês a R$ 2.000/mês,1500.5,Menos de 1 ano,0.5,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% presencial,1.0,1.0,0.0
19,Feminino,Branca,Sudeste,Estudante de Graduação,Estagiário,Engenheiro de Dados/Data Engineer/Data Architect,Engenharia de Dados,Júnior,de R$ 1.001/mês a R$ 2.000/mês,1500.5,Menos de 1 ano,0.5,de 1 a 2 anos,Modelo híbrido com dias fixos de trabalho presencial,1.0,1.0,0.0
19,Feminino,Branca,Sul,Estudante de Graduação,Estagiário,Analista de Negócios/Business Analyst,Análise de Dados e BI,Júnior,de R$ 1.001/mês a R$ 2.000/mês,1500.5,Não tenho experiência na área de dados,0.0,Menos de 1 ano,Modelo híbrido com dias fixos de trabalho presencial,1.0,0.0,0.0
19,Feminino,Branca,Sul,Estudante de Graduação,Estagiário,Analista de Negócios/Business Analyst,Análise de Dados e BI,Júnior,de R$ 1.001/mês a R$ 2.000/mês,1500.5,Menos de 1 ano,0.5,Menos de 1 ano,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),1.0,0.0,0.0
19,Feminino,Branca,Sul,Estudante de Graduação,Estagiário,Analista de BI/BI Analyst,Análise de Dados e BI,Júnior,Menos de R$ 1.000/mês,500.0,Menos de 1 ano,0.5,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% presencial,1.0,1.0,0.0
19,Masculino,Branca,Centro-oeste,Estudante de Graduação,Estagiário,Analista de BI/BI Analyst,Análise de Dados e BI,Júnior,Menos de R$ 1.000/mês,500.0,Menos de 1 ano,0.5,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% presencial,1.0,0.0,0.0
19,Masculino,Branca,Centro-oeste,Estudante de Graduação,Empregado (CLT),,Não informado,,de R$ 1.001/mês a R$ 2.000/mês,1500.5,Menos de 1 ano,0.5,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% remoto,,,
19,Masculino,Branca,Sudeste,Não tenho graduação formal,Estagiário,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Software e Sistemas,Júnior,Menos de R$ 1.000/mês,500.0,de 1 a 2 anos,1.5,de 1 a 2 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),1.0,1.0,0.0
19,Feminino,Branca,Sul,Estudante de Graduação,Estagiário,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Software e Sistemas,Júnior,de R$ 2.001/mês a R$ 3.000/mês,2500.5,de 1 a 2 anos,1.5,de 3 a 4 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),1.0,1.0,0.0
19,Masculino,Branca,Sul,Estudante de Graduação,Empregado (CLT),Analista de Suporte/Analista Técnico,Outros cargos,Júnior,de R$ 2.001/mês a R$ 3.000/mês,2500.5,de 1 a 2 anos,1.5,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% presencial,,,
20,Feminino,Branca,Sudeste,Estudante de Graduação,Empregado (CLT),Analista de Dados/Data Analyst,Análise de Dados e BI,Júnior,de R$ 4.001/mês a R$ 6.000/mês,5000.5,de 1 a 2 anos,1.5,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),1.0,1.0,0.0
20,Masculino,Branca,Sudeste,Estudante de Graduação,Estagiário,Analista de Dados/Data Analyst,Análise de Dados e BI,Júnior,de R$ 1.001/mês a R$ 2.000/mês,1500.5,Menos de 1 ano,0.5,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo híbrido com dias fixos de trabalho presencial,1.0,1.0,0.0
20,Feminino,Branca,Sudeste,Estudante de Graduação,Estagiário,Analytics Engineer,Engenharia de Dados,Júnior,de R$ 2.001/mês a R$ 3.000/mês,2500.5,de 1 a 2 anos,1.5,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo híbrido com dias fixos de trabalho presencial,1.0,1.0,0.0
20,Masculino,Branca,Sudeste,Estudante de Graduação,Empregado (CLT),Analista de BI/BI Analyst,Análise de Dados e BI,Júnior,de R$ 4.001/mês a R$ 6.000/mês,5000.5,Menos de 1 ano,0.5,Menos de 1 ano,Modelo 100% presencial,1.0,1.0,0.0
